Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
BAIXO AMAZONAS,208935,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,216188,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,250588,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,133650,399.98,199.99,2.0,1,1,1,31.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,256736,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,256259,399.98,199.99,2.0,1,1,1,31.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,156126,399.98,199.99,2.0,1,1,1,40.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,251349,399.98,199.99,2.0,1,1,1,36.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,256255,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,256195,399.98,199.99,2.0,1,1,1,36.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,252771,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,252935,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,256272,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,256289,399.98,199.99,2.0,1,1,1,40.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,256291,399.98,199.99,2.0,1,1,1,38.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,214847,399.98,199.99,2.0,1,1,1,26.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,1.0,0.0,0.0,
BAIXO AMAZONAS,216187,399.98,199.99,2.0,1,1,1,34.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,1.0,0.0,0.0,
